© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	IPA-Sarah
Analysis	Newborns-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:37:18 PST 2017
Analysis ID	15776117

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.05E-01	NaN	3.21E-03	TNFSF13B,	
Neuroinflammation Signaling Pathway	4.06E-01	NaN	3.22E-03	CASP8,	
Sirtuin Signaling Pathway	4.28E-01	NaN	3.44E-03	HIST1H1D,	
G-Protein Coupled Receptor Signaling	4.47E-01	NaN	3.62E-03	PRKAR2B,	
Protein Ubiquitination Pathway	4.61E-01	NaN	3.77E-03	TAP2,	
Signaling by Rho Family GTPases	4.78E-01	NaN	3.97E-03	RDX,	
Huntington's Disease Signaling	4.81E-01	NaN	4.00E-03	CASP8,	
Colorectal Cancer Metastasis Signaling	4.84E-01	NaN	4.03E-03	PRKAR2B,	
Cardiac Hypertrophy Signaling	5.02E-01	NaN	4.24E-03	PRKAR2B,	
cAMP-mediated signaling	5.16E-01	NaN	4.41E-03	PRKAR2B,	
Systemic Lupus Erythematosus Signaling	5.19E-01	NaN	4.44E-03	TNFSF13B,	
EIF2 Signaling	5.26E-01	NaN	4.52E-03	RPS23,	
Integrin Signaling	5.29E-01	NaN	4.57E-03	ACTN1,	
AMPK Signaling	5.34E-01	NaN	4.63E-03	PRKAR2B,	
Osteoarthritis Pathway	5.43E-01	NaN	4.74E-03	CASP8,	
Breast Cancer Regulation by Stathmin1	5.53E-01	NaN	4.88E-03	PRKAR2B,	
mTOR Signaling	5.6E-01	NaN	4.98E-03	RPS23,	
ERK/MAPK Signaling	5.62E-01	NaN	5.00E-03	PRKAR2B,	
ILK Signaling	5.68E-01	NaN	5.08E-03	ACTN1,	
Gap Junction Signaling	5.72E-01	NaN	5.13E-03	PRKAR2B,	
Role of NFAT in Cardiac Hypertrophy	5.76E-01	NaN	5.18E-03	PRKAR2B,	
Agranulocyte Adhesion and Diapedesis	5.79E-01	NaN	5.24E-03	RDX,	
B Cell Receptor Signaling	5.79E-01	NaN	5.24E-03	EBF1,	
Endothelin-1 Signaling	5.81E-01	NaN	5.26E-03	CASP8,	
RAR Activation	5.81E-01	NaN	5.26E-03	PRKAR2B,	
CREB Signaling in Neurons	5.89E-01	NaN	5.38E-03	PRKAR2B,	
Calcium Signaling	6.02E-01	NaN	5.56E-03	PRKAR2B,	
PPARα/RXRα Activation	6.02E-01	NaN	5.56E-03	PRKAR2B,	
Granulocyte Adhesion and Diapedesis	6.04E-01	NaN	5.59E-03	RDX,	
RhoGDI Signaling	6.08E-01	NaN	5.65E-03	RDX,	
Germ Cell-Sertoli Cell Junction Signaling	6.17E-01	NaN	5.78E-03	ACTN1,	
Mitochondrial Dysfunction	6.21E-01	NaN	5.85E-03	CASP8,	
Tight Junction Signaling	6.3E-01	NaN	5.99E-03	PRKAR2B,	
Dopamine-DARPP32 Feedback in cAMP Signaling	6.37E-01	NaN	6.10E-03	PRKAR2B,	
Hepatic Cholestasis	6.46E-01	NaN	6.25E-03	PRKAR2B,	
Regulation of eIF4 and p70S6K Signaling	6.54E-01	NaN	6.37E-03	RPS23,	
Relaxin Signaling	6.54E-01	NaN	6.37E-03	PRKAR2B,	
Epithelial Adherens Junction Signaling	6.82E-01	NaN	6.85E-03	ACTN1,	
GNRH Signaling	6.87E-01	NaN	6.94E-03	PRKAR2B,	
Ovarian Cancer Signaling	6.87E-01	NaN	6.94E-03	PRKAR2B,	
Insulin Receptor Signaling	6.95E-01	NaN	7.09E-03	PRKAR2B,	
Cardiac β-adrenergic Signaling	6.98E-01	NaN	7.14E-03	PRKAR2B,	
Adipogenesis pathway	7.15E-01	NaN	7.46E-03	EBF1,	
P2Y Purigenic Receptor Signaling Pathway	7.15E-01	NaN	7.46E-03	PRKAR2B,	
Cellular Effects of Sildenafil (Viagra)	7.24E-01	NaN	7.63E-03	PRKAR2B,	
Gustation Pathway	7.36E-01	NaN	7.87E-03	PRKAR2B,	
Sperm Motility	7.36E-01	NaN	7.87E-03	PRKAR2B,	
Sphingosine-1-phosphate Signaling	7.42E-01	NaN	8.00E-03	CASP8,	
RhoA Signaling	7.45E-01	NaN	8.06E-03	RDX,	
Renin-Angiotensin Signaling	7.52E-01	NaN	8.20E-03	PRKAR2B,	
Synaptic Long Term Potentiation	7.52E-01	NaN	8.20E-03	PRKAR2B,	
Gαi Signaling	7.58E-01	NaN	8.33E-03	PRKAR2B,	
