© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00	NaN	5.00E-03	ACP5,	
3-phosphoinositide Degradation	-0E00	NaN	6.33E-03	ACP5,	
Acute Phase Response Signaling	-0E00	NaN	5.88E-03	ITIH4,	
Cdc42 Signaling	-0E00	NaN	5.99E-03	PRKCZ,	
Colorectal Cancer Metastasis Signaling	-0E00	NaN	4.03E-03	ADCY3,	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	NaN	6.94E-03	ACP5,	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	NaN	6.94E-03	ACP5,	
D-myo-inositol-5-phosphate Metabolism	-0E00	NaN	6.17E-03	ACP5,	
EIF2 Signaling	-0E00	NaN	4.52E-03	IGF1R,	
Ephrin Receptor Signaling	-0E00	NaN	5.71E-03	NCK1,	
Glioblastoma Multiforme Signaling	-0E00	NaN	6.17E-03	IGF1R,	
ILK Signaling	-0E00	NaN	5.08E-03	PPP2CA,	
Neuroinflammation Signaling Pathway	-0E00	NaN	6.43E-03	NCSTN,IL4	
Osteoarthritis Pathway	-0E00	NaN	4.74E-03	DDIT4,	
Protein Ubiquitination Pathway	-0E00	NaN	3.77E-03	SUGT1,	
Regulation of the Epithelial-Mesenchymal Transition Pathway	-0E00	NaN	5.29E-03	NCSTN,	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-0E00	NaN	6.41E-03	PRKCH,PRKCZ	
Role of NFAT in Regulation of the Immune Response	-0E00	NaN	5.38E-03	MS4A2,	
Signaling by Rho Family GTPases	-0E00	NaN	3.97E-03	PRKCZ,	
Superpathway of Inositol Phosphate Compounds	-0E00	NaN	4.26E-03	ACP5,	
Systemic Lupus Erythematosus Signaling	-0E00	NaN	4.44E-03	LSM14B,	
Sphingosine-1-phosphate Signaling	2.32E-01	NaN	8.00E-03	ADCY3,	
RhoA Signaling	2.34E-01	NaN	8.06E-03	IGF1R,	
Role of Tissue Factor in Cancer	2.36E-01	NaN	8.13E-03	RPS6KA2,	
G-Protein Coupled Receptor Signaling	2.37E-01	NaN	7.25E-03	ADCY3,PDE6H	
LXR/RXR Activation	2.4E-01	NaN	8.26E-03	ITIH4,	
p38 MAPK Signaling	2.43E-01	NaN	8.33E-03	RPS6KA2,	
Rac Signaling	2.5E-01	NaN	8.55E-03	PRKCZ,	
Paxillin Signaling	2.6E-01	NaN	8.85E-03	NCK1,	
Telomerase Signaling	2.65E-01	NaN	9.01E-03	PPP2CA,	
Gαs Signaling	2.67E-01	NaN	9.09E-03	ADCY3,	
Oxidative Phosphorylation	2.7E-01	NaN	9.17E-03	ATPAF2,	
Chronic Myeloid Leukemia Signaling	2.78E-01	NaN	9.43E-03	RBL2,	
UVA-Induced MAPK Signaling	2.78E-01	NaN	9.43E-03	RPS6KA2,	
RANK Signaling in Osteoclasts	2.89E-01	NaN	9.80E-03	MITF,	
PAK Signaling	2.92E-01	NaN	9.90E-03	NCK1,	
CTLA4 Signaling in Cytotoxic T Lymphocytes	2.98E-01	NaN	1.01E-02	PPP2CA,	
ATM Signaling	3.01E-01	NaN	1.02E-02	PPP2CA,	
Cardiac Hypertrophy Signaling	3.05E-01	NaN	8.47E-03	IGF1R,ADCY3	
Salvage Pathways of Pyrimidine Ribonucleotides	3.11E-01	NaN	1.05E-02	PRKCH,	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.11E-01	NaN	8.58E-03	ACP5,IL4	
Communication between Innate and Adaptive Immune Cells	3.14E-01	NaN	1.06E-02	IL4,	
Death Receptor Signaling	3.17E-01	NaN	1.08E-02	TANK,	
IL-1 Signaling	3.21E-01	NaN	1.09E-02	ADCY3,	
cAMP-mediated signaling	3.23E-01	NaN	8.81E-03	ADCY3,PDE6H	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.27E-01	NaN	1.11E-02	IL4,	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.31E-01	NaN	1.12E-02	IL4,	
IL-4 Signaling	3.31E-01	NaN	1.12E-02	IL4,	
LPS/IL-1 Mediated Inhibition of RXR Function	3.34E-01	NaN	9.01E-03	ABCB9,NR0B2	
Integrin Signaling	3.41E-01	NaN	9.13E-03	RALB,NCK1	
FLT3 Signaling in Hematopoietic Progenitor Cells	3.42E-01	NaN	1.16E-02	RPS6KA2,	
Leptin Signaling in Obesity	3.42E-01	NaN	1.16E-02	ADCY3,	
Allograft Rejection Signaling	3.49E-01	NaN	1.19E-02	IL4,	
Leukocyte Extravasation Signaling	3.59E-01	NaN	9.48E-03	PRKCH,PRKCZ	
Cyclins and Cell Cycle Regulation	3.65E-01	NaN	1.25E-02	PPP2CA,	
CD40 Signaling	3.69E-01	NaN	1.27E-02	TANK,	
Estrogen-Dependent Breast Cancer Signaling	3.73E-01	NaN	1.28E-02	IGF1R,	
GDNF Family Ligand-Receptor Interactions	3.82E-01	NaN	1.32E-02	NCK1,	
IL-15 Signaling	3.82E-01	NaN	1.32E-02	IL4,	
ERK/MAPK Signaling	3.86E-01	NaN	1.00E-02	YWHAQ,PPP2CA	
STAT3 Pathway	3.9E-01	NaN	1.35E-02	IGF1R,	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	3.95E-01	NaN	1.37E-02	ADCY3,	
T Helper Cell Differentiation	3.95E-01	NaN	1.37E-02	IL4,	
Role of JAK1 and JAK3 in γc Cytokine Signaling	4.04E-01	NaN	1.41E-02	IL4,	
NRF2-mediated Oxidative Stress Response	4.05E-01	NaN	1.04E-02	PRKCH,PRKCZ	
Axonal Guidance Signaling	4.06E-01	NaN	8.85E-03	SHANK2,PRKCH,PRKCZ,NCK1	
Cell Cycle: G1/S Checkpoint Regulation	4.29E-01	NaN	1.52E-02	RBL2,	
Mitotic Roles of Polo-Like Kinase	4.29E-01	NaN	1.52E-02	PPP2CA,	
Pyridoxal 5'-phosphate Salvage Pathway	4.34E-01	NaN	1.54E-02	PRKCH,	
Calcium Signaling	4.42E-01	NaN	1.11E-02	SLC8B1,ATP2C1	
PPARα/RXRα Activation	4.42E-01	NaN	1.11E-02	ADCY3,NR0B2	
Activation of IRF by Cytosolic Pattern Recognition Receptors	4.45E-01	NaN	1.59E-02	TANK,	
CNTF Signaling	4.45E-01	NaN	1.59E-02	RPS6KA2,	
Wnt/Ca+ pathway	4.45E-01	NaN	1.59E-02	PDE6H,	
autophagy	4.5E-01	NaN	1.61E-02	CTSB,	
Wnt/β-catenin Signaling	4.67E-01	NaN	1.16E-02	TLE4,PPP2CA	
