node	x	y	label.dist	label.degree
A	0	0	0	0
B	0	0	0	0
C	0	0	0	0
D	0	0	0	0
E	0	0	0	0
F	0	0	0	0
G	0	0	0	0
H	0	0	0	0
I	0	0	0	0
J	0	0	0	0
K	0	0	0	0
L	0	0	0	0
M	0	0	0	0
N	0	0	0	0
O	0	0	0	0
P	0	0	0	0
Q	0	0	0	0
R	0	0	0	0
S	0	0	0	0
T	0	0	0	0
U	0	0	0	0
V	0	0	0	0
W	0	0	0	0
X	0	0	0	0
Y	0	0	0	0
Z	0	0	0	0
AA	0	0	0	0
AB	0	0	0	0
AC	0	0	0	0
AD	0	0	0	0
AE	0	0	0	0
AF	0	0	0	0
AG	0	0	0	0
AH	0	0	0	0
AI	0	0	0	0
AJ	0	0	0	0
AK	0	0	0	0
AL	0	0	0	0
AM	0	0	0	0
AN	0	0	0	0
AO	0	0	0	0
AP	0	0	0	0
AQ	0	0	0	0
AR	0	0	0	0
AS	0	0	0	0
AT	0	0	0	0
AU	0	0	0	0
AV	0	0	0	0
AW	0	0	0	0
AX	0	0	0	0
AY	0	0	0	0
AZ	0	0	0	0
BA	0	0	0	0
BB	0	0	0	0
BC	0	0	0	0
BD	0	0	0	0
BE	0	0	0	0
BF	0	0	0	0
BG	0	0	0	0
BH	0	0	0	0
BI	0	0	0	0
BJ	0	0	0	0
BK	0	0	0	0
BL	0	0	0	0
BM	0	0	0	0
BN	0	0	0	0
BO	0	0	0	0
BP	0	0	0	0
BQ	0	0	0	0
BR	0	0	0	0
BS	0	0	0	0
BT	0	0	0	0
BU	0	0	0	0
BV	0	0	0	0
BW	0	0	0	0
BX	0	0	0	0
BY	0	0	0	0
BZ	0	0	0	0
CA	0	0	0	0
CB	0	0	0	0
CC	0	0	0	0
CD	0	0	0	0
CE	0	0	0	0
CF	0	0	0	0
CG	0	0	0	0
CH	0	0	0	0
CI	0	0	0	0
CJ	0	0	0	0
CK	0	0	0	0
CL	0	0	0	0
CM	0	0	0	0
CN	0	0	0	0
CO	0	0	0	0
CP	0	0	0	0
SetA	0	0	0	0
SetB	0	0	0	0
SetC	0	0	0	0
SetD	0	0	0	0
